	MCL	RTCL	non-RTCL	N(RT)	N(nonRT)	SCL	s	remaining time
0	0.0	3.0	5.0	0	0	4.0	2	0.0
1	3.0	14.2753	5.0	0	1	6.7829	1	1.0
2	5.0	14.2753	7.1467	0	2	6.7829	1	1.0
3	6.7829	14.2753	7.1467	0	1	7.7829	2	0.0
4	7.1467	14.2753	20.2719	0	2	7.7829	2	0.0
5	7.7829	14.2753	20.2719	0	1	10.2783	2	0.0
6	10.2783	14.2753	20.2719	0	0	14.3022	2	0.0
7	14.2753	42.7486	20.2719	0	1	15.6321	1	0.0269
8	15.6321	42.7486	20.2719	0	0	15.659	2	0.0
9	15.659	42.7486	20.2719	0	0		0	0.0
10	20.2719	42.7486	36.6896	0	1	23.614	2	0.0
11	23.614	42.7486	36.6896	0	0	34.2593	2	0.0
12	34.2593	42.7486	36.6896	0	0		0	0.0
13	36.6896	42.7486	48.6899	0	1	40.1168	2	0.0
14	40.1168	42.7486	48.6899	0	0	40.8773	2	0.0
15	40.8773	42.7486	48.6899	0	0		0	0.0
16	42.7486	63.6393	48.6899	0	0	45.7476	1	0.0
17	45.7476	63.6393	48.6899	0	0		0	0.0
18	48.6899	63.6393	51.0205	0	1	48.9047	2	0.0
19	48.9047	63.6393	51.0205	0	0	51.1036	2	0.0
20	51.0205	63.6393	55.6436	0	1	51.1036	2	0.0
21	51.1036	63.6393	55.6436	0	0	51.1997	2	0.0
22	51.1997	63.6393	55.6436	0	0		0	0.0
23	55.6436	63.6393	70.9762	0	1	56.254	2	0.0
24	56.254	63.6393	70.9762	0	0	61.2109	2	0.0
25	61.2109	63.6393	70.9762	0	0		0	0.0
26	63.6393	83.001	70.9762	0	0	67.917	1	0.0
27	67.917	83.001	70.9762	0	0		0	0.0
28	70.9762	83.001	76.8567	0	1	71.7889	2	0.0
29	71.7889	83.001	76.8567	0	0	78.632	2	0.0
30	76.8567	83.001	79.5666	0	1	78.632	2	0.0
31	78.632	83.001	79.5666	0	0	80.4239	2	0.0
32	79.5666	83.001	84.5056	0	1	80.4239	2	0.0
33	80.4239	83.001	84.5056	0	0	82.8317	2	0.0
34	82.8317	83.001	84.5056	0	0		0	0.0
35	83.001	110.6808	84.5056	0	0	88.6412	1	0.0
36	84.5056	110.6808	92.406	0	1	88.6412	1	0.0
37	88.6412	110.6808	92.406	0	0	90.1815	2	0.0
38	90.1815	110.6808	92.406	0	0		0	0.0
39	92.406	110.6808	96.6539	0	1	97.0376	2	0.0
40	96.6539	110.6808	99.3298	0	2	97.0376	2	0.0
41	97.0376	110.6808	99.3298	0	1	100.2034	2	0.0
42	99.3298	110.6808	105.3535	0	2	100.2034	2	0.0
43	100.2034	110.6808	105.3535	0	1	101.1242	2	0.0
44	101.1242	110.6808	105.3535	0	0	102.5566	2	0.0
45	102.5566	110.6808	105.3535	0	0		0	0.0
46	105.3535	110.6808	112.4045	0	1	107.5711	2	0.0
47	107.5711	110.6808	112.4045	0	0	110.147	2	0.0
48	110.147	110.6808	112.4045	0	0		0	0.0
49	110.6808	112.0145	112.4045	0	0	111.3117	1	0.0
50	111.3117	112.0145	112.4045	0	0		0	0.0
51	112.0145	124.4646	112.4045	0	0	112.0545	1	0.0
52	112.0545	124.4646	112.4045	0	0		0	0.0
53	112.4045	124.4646	123.0871	0	1	115.8924	2	0.0
54	115.8924	124.4646	123.0871	0	0	117.0052	2	0.0
55	117.0052	124.4646	123.0871	0	0		0	0.0
56	123.0871	124.4646	132.507	0	1	125.949	2	0.0
