,X1,X2,X3,X4,X5,Y
0,87.251,126.14,237.1,307.51,370.27,17097.0
1,88.363,163.05,276.54,327.71,375.85,17904.0
2,66.277,163.95,251.39,307.63,425.08,13164.0
3,126.16,160.26,305.48,299.6,374.06,29588.0
5,129.8,158.8,290.26,355.78,387.44,31344.0
6,64.544,124.88,270.86,289.63,353.58,12004.0
7,69.64699999999999,107.88,272.13,261.93,346.53,12695.0
8,104.05,159.88,298.24,290.96,407.36,22436.0
9,87.671,131.55,355.57,309.42,374.38,17897.0
10,57.641000000000005,178.53,292.83,333.51,370.97,11541.0
11,104.54,152.96,308.9,293.9,421.96,22772.0
12,128.06,98.54,279.8,280.03,432.7,30358.0
13,97.235,136.39,294.9,322.84,388.5,20377.0
14,74.714,204.08,332.61,282.0,436.17,15396.0
15,94.389,171.87,239.56,347.66,331.26,19044.0
16,90.294,173.51,264.77,303.08,417.9,18617.0
17,46.847,145.51,229.52,287.91,408.06,9511.0
18,103.13,181.15,256.09,330.43,422.78,22418.0
19,81.622,144.88,265.86,268.41,411.93,16079.0
20,94.6,135.17,279.7,319.87,354.76,19222.0
21,116.61,136.02,271.68,307.57,400.25,26264.0
22,82.036,136.89,315.4,340.91,381.19,16590.0
24,84.54700000000001,151.49,265.29,267.88,431.71,16987.0
26,59.63399999999999,201.19,281.78,290.69,412.97,12022.0
27,110.93,139.32,247.23,358.98,403.98,24648.0
28,106.28,166.65,289.15,291.69,369.5,22739.0
29,53.71,141.15,311.36,306.1,448.1,11422.0
30,75.492,162.07,282.23,313.65,380.48,14829.0
31,86.741,158.92,286.72,276.14,361.28,17058.0
32,75.797,166.1,289.22,317.11,377.16,14938.0
33,135.5,197.47,321.5,330.05,384.86,33645.0
34,101.58,205.23,272.66,301.54,393.29,21666.0
35,79.774,145.15,306.94,353.42,424.13,16533.0
36,126.31,161.04,310.54,326.15,351.51,29631.0
37,118.36,180.61,293.86,306.17,364.2,26786.0
38,48.746,145.62,302.01,317.26,399.16,10262.0
39,114.9,135.58,298.29,347.56,405.95,26145.0
40,89.305,154.3,255.13,285.46,382.33,17789.0
41,66.62100000000001,153.82,281.59,273.84,423.77,13121.0
42,43.475,159.67,278.64,303.04,394.8,9351.8
43,86.29299999999999,198.1,250.79,280.86,356.99,16888.0
44,97.31,178.98,334.28,354.88,429.43,21354.0
45,69.875,205.05,263.28,292.62,354.03,13314.0
46,71.14699999999999,179.21,244.54,382.25,391.1,14317.0
47,107.62,184.93,274.98,279.31,355.46,22930.0
48,96.765,140.79,315.67,290.33,361.53,19903.0
49,39.977,134.23,280.49,296.38,410.88,8956.2
50,122.68,163.0,281.39,298.37,392.74,28386.0
51,140.68,144.02,247.7,313.27,365.06,34841.0
52,81.93700000000001,140.47,330.18,277.77,469.7,17083.0
53,73.04,156.54,278.64,311.41,409.69,14524.0
54,92.70299999999999,181.8,303.67,315.24,411.77,19511.0
55,86.39200000000001,190.43,266.89,342.06,433.67,18093.0
56,81.59899999999999,133.69,251.29,317.07,391.47,16080.0
57,86.604,184.8,293.44,326.89,420.97,18047.0
58,134.78,187.49,321.01,302.57,409.09,33377.0
59,105.81,121.97,266.99,299.38,375.83,22428.0
60,120.84,147.62,273.84,326.1,389.31,27792.0
61,103.65,173.7,257.62,317.33,349.41,21777.0
62,40.488,137.72,314.21,330.85,366.65,9011.5
63,94.65799999999999,194.74,305.44,291.5,376.65,19610.0
64,116.98,142.74,290.45,296.41,367.15,26128.0
65,107.85,182.58,296.53,310.42,426.21,23979.0
66,102.86,198.55,260.2,302.34,381.07,21843.0
67,66.499,145.26,289.18,246.81,370.48,12426.0
68,99.359,167.95,287.16,318.58,372.95,20880.0
69,111.16,174.22,257.03,293.66,438.16,24797.0
70,123.33,163.66,285.5,295.13,418.22,28862.0
71,154.63,175.23,300.09,348.64,428.59,42025.0
73,66.303,160.05,265.22,269.77,408.12,12821.0
74,54.232,111.47,258.06,288.84,409.25,10637.0
75,103.64,138.75,280.79,306.2,415.64,22323.0
76,97.75399999999999,192.08,294.9,323.24,406.91,20901.0
77,104.21,150.61,264.55,306.77,372.53,22049.0
78,98.45100000000001,172.69,283.17,291.08,348.52,20205.0
79,106.69,133.19,292.84,308.74,411.74,23275.0
80,61.169,170.9,303.71,350.47,383.13,12403.0
81,75.42399999999999,173.88,313.64,258.19,396.47,14811.0
83,72.453,144.03,299.6,331.98,417.39,14673.0
84,59.761,225.1,304.22,292.21,408.06,12211.0
85,120.42,167.05,311.93,324.38,371.11,27729.0
86,95.51299999999999,163.02,312.19,326.09,402.79,20240.0
87,106.21,90.76899999999999,239.77,295.53,363.29,22151.0
88,42.153999999999996,157.94,286.98,273.34,360.38,8706.5
89,97.46600000000001,147.13,268.42,276.08,363.42,19800.0
91,59.13399999999999,179.52,320.29,340.68,396.87,12233.0
92,44.934,180.95,313.42,310.36,391.51,9814.2
93,80.575,172.4,261.25,349.83,338.63,15744.0
94,88.19200000000001,157.18,278.25,313.89,382.29,17819.0
95,112.76,103.28,322.33,313.28,397.44,25147.0
96,135.53,160.19,315.74,350.31,354.62,33338.0
97,91.05799999999999,154.51,326.31,264.07,401.85,18667.0
98,139.18,192.72,270.99,309.29,362.29,34478.0
99,62.542,154.38,339.43,336.7,396.34,12813.0
100,148.87,170.02,298.66,297.46,366.36,38544.0
